IdAdmin;NamaAdmin;EmailAdmin;PasswordAdmin;;;;;;;;;
IdDoswal;NamaDoswal;NipDoswal;NoWa;IdMaha;;;;;;;;
id;uuid;connection;queue;payload;exception;failed_at;;;;;;
IdGpm;NamaGpm;EmailGpm;PasswordGpm;;;;;;;;;
IdMaha;NamaMaha;NimMaha;Semester;JumlahSks;Ipk;NoWa;IdDoswal;;;;;
1;adqwed;wqewqdq;7;149;3.65;132132132;1;;;;;
4;Marul;2,11E+13;8;146;3.65;82169145122;1;;;;;
id;migration;batch;;;;;;;;;;
1;2014_10_12_000000_create_users_table;1;;;;;;;;;;
2;2014_10_12_100000_create_password_reset_tokens_table;1;;;;;;;;;;
3;2019_08_19_000000_create_failed_jobs_table;1;;;;;;;;;;
4;2019_12_14_000001_create_personal_access_tokens_table;1;;;;;;;;;;
5;2024_01_08_034846_create_mahasiswa_table;1;;;;;;;;;;
6;2024_01_08_040136_create_doswal_table;1;;;;;;;;;;
7;2024_01_08_040149_create_gpm_table;1;;;;;;;;;;
8;2024_01_08_040213_create_admin_table;1;;;;;;;;;;
9;2024_01_08_040241_create_perwalian_table;1;;;;;;;;;;
10;2024_01_08_040253_create_pengumuman_table;1;;;;;;;;;;
11;2014_10_12_100000_create_password_resets_table;2;;;;;;;;;;
12;2024_01_14_035610_add_uraian_to_pengumuman;3;;;;;;;;;;
13;2024_01_14_040335_add_uraian_to_perwalian;4;;;;;;;;;;
email;token;created_at;;;;;;;;;;
email;token;created_at;;;;;;;;;;
IdInfo;TanggalInfo;IsiInfo;;;;;;;;;;
9;27/04/2024 13:57;tidak bisa login;;;;;;;;;;
10;27/04/2024 13:57;error saat login;;;;;;;;;;
id;tokenable_type;tokenable_id;name;token;abilities;last_used_at;expires_at;created_at;updated_at;;;
IdPerwalian;NamaMaha;NimMaha;Semester;JumlahSks;Ipk;TanggalPerwalian;NoWa;NamaDoswal;Masalah;Rekomendasi;uraian;status
9;Marul;2,11E+13;8;150;3.5;27/04/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Sebelum UAS;NULL
10;Marul;2,11E+13;8;150;4;27/04/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Sebelum UAS;reject
11;Marul;2,11E+13;8;150;4;29/04/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Sebelum UTS;approve
12;Marul;2,11E+13;8;150;4;29/04/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Sebelum UAS;NULL
13;Marul;2,11E+13;8;150;4.5;29/04/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Awal Semester;NULL
14;Marul;2,11E+13;8;150;4;29/04/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Sebelum UTS;NULL
15;Maru;2,11E+13;8;50;2;02/05/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Awal Semester;NULL
16;njkj;12314124;3;90;2;02/05/2024 16:46;2084019243;mas jierea; madhieha;NULL;Sebelum UTS;NULL
17;Marul;2,11E+13;8;150;4;02/05/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Sebelum UTS;NULL
18;Marul;2,11E+13;8;50;2;01/05/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Awal Semester;NULL
19;Marul;2,11E+13;9;50;2;02/05/2024 10:14;8,95E+11;Belia;skripsi susah;NULL;Sebelum UAS;NULL
20;Marul;2,11E+13;9;50;2;02/05/2024 00:00;8,95E+11;Belia;skripsi susah;NULL;Sebelum UAS;NULL
21;Marul;2,11E+13;9;12;1;02/05/2024 00:00;8,95E+11;asmdned;masdke;NULL;Sebelum UAS;NULL
22;jnnfser;2134124;3;12;1;02/05/2024 00:00;2141243243;acdfdaf;asdeefdf;NULL;Awal Semester;NULL
23;Marul;2,11E+13;9;150;4;01/05/2024 17:00;8,95E+11;Belia;bismillah;NULL;Sebelum UTS;NULL
24;Marul;2,11E+13;8;150;4;01/05/2024 17:00;8,95E+11;Belia;bismillah;NULL;Sebelum UTS;NULL
25;Marul;2,11E+13;8;150;4;01/05/2024 17:00;8,95E+11;Belia;lancar;NULL;Sebelum UTS;NULL
26;Marul;2,11E+13;8;150;4;02/05/2024 17:40;8,95E+11;Belia;lancar;NULL;Sebelum UTS;NULL
id;name;email;email_verified_at;password;remember_token;created_at;updated_at;;;;;
1;Tester1;tester1@example;NULL;$2y$12$xlAbvGGWy0wJJYImI.R0rOWt8ISTfYaw9qQqw8KNuSRO02BNXIYRi;RKkN8Wdz7H5MpUZfnIWBUc7RmQTfYmdgk9Gpem5ZkkC5zn6Kh0S8W7CSJMeT;08/01/2024 05:25;08/01/2024 05:25;;;;;
